variable_1,variable_2,pearson,spearman,max_abs
ambiental_penalizacion_media_0_1,precipitation_daily_mean_mm_2024_2025,-0.1329183895820583,-0.09768492377188029,0.1329183895820583
digital_data_centers_osm_n,digital_exchanges_centrales_telecom_1000km2,0.11300925372245821,0.1261681793832434,0.1261681793832434
densidad_poblacion,pvgis_coef_variacion_mensual,-0.03476576737197251,-0.12598872067233724,0.12598872067233724
precipitation_daily_mean_mm_2024_2025,punto_rocio_medio_c,-0.042437166117174456,-0.12365894974590627,0.12365894974590627
densidad_poblacion,temperatura_media_2m_c,0.09711232835868454,0.12365894974590627,0.12365894974590627
pvgis_coef_variacion_mensual,digital_exchanges_centrales_telecom_1000km2,0.02876108474316741,-0.11359141453758657,0.11359141453758657
electrica_densidad_alta_tension_km_1000km2,temperatura_media_2m_c,-0.026191177913674087,-0.11349520045172219,0.11349520045172219
pvgis_produccion_anual_kwh_kwp,ambiental_penalizacion_media_0_1,0.0025286526641874773,0.11299436831599753,0.11299436831599753
ambiental_densidad_sitios_1000km2,digital_exchanges_centrales_telecom_1000km2,-0.10516042037896896,-0.0672126544734911,0.10516042037896896
pvgis_coef_variacion_mensual,ambiental_densidad_sitios_1000km2,0.10443277831310036,0.08079097334593824,0.10443277831310036
ambiental_penalizacion_media_0_1,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,-0.024079935358921827,-0.10220214568040654,0.10220214568040654
digital_exchanges_centrales_telecom_1000km2,hidrica_wei_area_estres_grave_pct_territorio_2019_2023,0.09531500031486784,0.09432364115187407,0.09531500031486784
pvgis_coef_variacion_mensual,electrica_densidad_alta_tension_km_1000km2,0.04861752568871058,0.08926555096963805,0.08926555096963805
corine_compat_media_0_3,punto_rocio_medio_c,0.079539265713883,-0.08639186900056466,0.08639186900056466
ambiental_penalizacion_media_0_1,electrica_densidad_alta_tension_km_1000km2,0.01510607529451728,0.07961603613777526,0.07961603613777526
ambiental_penalizacion_media_0_1,digital_data_centers_osm_n,0.002998311934819657,0.07527728720357467,0.07527728720357467
pvgis_perdidas_totales_pct,punto_rocio_medio_c,0.07361859656379593,-0.06440678994011859,0.07361859656379593
pvgis_produccion_anual_kwh_kwp,digital_data_centers_osm_n,-0.0715805852045786,0.005749605249248294,0.0715805852045786
digital_data_centers_osm_n,punto_rocio_medio_c,0.001914231544718365,-0.06723238628105524,0.06723238628105524
densidad_poblacion,precipitation_daily_mean_mm_2024_2025,0.0646236390703528,0.044607566346696784,0.0646236390703528
nivel_formativo_terciario,digital_exchanges_centrales_telecom_1000km2,0.05678952020621785,0.05423728813559322,0.05678952020621785
pvgis_coef_variacion_mensual,digital_data_centers_osm_n,-0.03849949990942745,-0.05577117091770845,0.05577117091770845
logistica_places_n_por_1000km2,ambiental_densidad_sitios_1000km2,0.01203445785662243,-0.054771315640880856,0.054771315640880856
densidad_poblacion,pvgis_produccion_anual_kwh_kwp,-0.01629430622486729,0.045762719167979,0.045762719167979
logistica_road_alta_capacidad_km_por_1000km2,temperatura_media_2m_c,0.027737939881095637,0.044607566346696784,0.044607566346696784
